Province,Number of road,Gravel Road,Asphalt Road,Concrete Road,total,pro_th,Latitude_y,Longitude_y
Si Sa Ket,22213.0,9991.54,1597.82,5825.26,17414.62,ศรีสะเกษ,14.856537644373349,104.36920527716292
Sakon Nakhon,20462.0,9597.86,1309.65,4060.54,14968.04,สกลนคร,17.38978329519521,103.8241426510727
Songkhla,14544.0,3618.52,4082.37,2736.89,10437.79,สงขลา,6.934392051973291,100.54540056658274
Satun,3161.0,669.37,960.11,677.69,2307.17,สตูล,6.845420255490096,99.92692142040934
Samut Prakan,3543.0,40.88,198.24,1338.63,1577.75,สมุทรปราการ,13.596510828767283,100.71024331899262
Samut Songkhram,1299.0,129.57,568.3,156.23,854.09,สมุทรสงคราม,13.39610313397866,99.95314983719275
Samut Sakhon,2619.0,198.99,519.72,930.76,1649.47,สมุทรสาคร,13.570333919951599,100.21174720454367
Sa Kaeo,7464.0,4622.78,1166.72,1552.29,7341.8,สระแก้ว,13.787287524722084,102.32277572516081
Saraburi,6332.0,968.56,1621.49,2043.29,4633.45,สระบุรี,14.626601006351807,101.01703016486846
Sing Buri,3056.0,588.16,422.88,1043.07,2054.11,สิงห์บุรี,14.912521014428588,100.34720811625142
Sukhothai,10730.0,4786.68,1842.84,1938.23,8567.74,สุโขทัย,17.262770232336116,99.71098151617889
Suphan Buri,11074.0,4911.91,2017.42,2410.93,9340.26,สุพรรณบุรี,14.613124909804762,99.89124458776843
Surat Thani,9908.0,5600.28,3466.46,2827.32,11894.06,สุราษฎร์ธานี,9.053159042374674,99.09165016107036
Surin,21480.0,8816.31,2706.15,4361.5,15883.96,สุรินทร์,14.885844257369065,103.65590287181989
Nong Khai,5524.0,2007.66,602.28,1393.28,4003.22,หนองคาย,17.940559264166378,102.833832633138
Nong Bua Lamphu,7102.0,3447.39,958.6,1354.06,5760.05,หนองบัวลำภู,17.181718871163188,102.30234041413271
Ang Thong,4056.0,668.82,449.64,1520.36,2638.82,อ่างทอง,14.623542047031655,100.3485069341108
Amnat Charoen,4464.0,2566.33,851.38,879.79,4297.49,อำนาจเจริญ,15.892609018485912,104.74136853787347
Udon Thani,24286.0,10019.04,2821.09,4984.68,17824.82,อุดรธานี,17.42451620979712,102.86266319901678
Uttaradit,8380.0,2905.55,1323.68,1707.76,5936.99,อุตรดิตถ์,17.745137168808682,100.51456537902429
Uthai Thani,4368.0,2356.36,1057.08,1345.68,4759.12,อุทัยธานี,15.350168095345273,99.47823310956986
Ubon Ratchathani,29821.0,14607.97,2542.1,5925.91,23075.98,อุบลราชธานี,15.183526844571999,105.11152504887026
Bangkok,,,,,3785.214,กรุงเทพมหานคร,13.771826726531751,100.62353369679573
