province,road_density,area_sqkm,total_population,total_issues,road_type,distance
พังงา,0.6049892112203308,4171,267057,13645,Asphalt Road,703.65
พัทลุง,1.7953066588785047,3424,520598,12454,Asphalt Road,1671.75
พิจิตร,1.8008474950342088,4531,521907,25297,Asphalt Road,1140.36
พิษณุโลก,0.947922522189349,10816,841729,22143,Asphalt Road,1988.46
ภูเก็ต,1.64097605893186,543,423599,13158,Asphalt Road,518.3
มหาสารคาม,1.8313303099017384,5292,937915,14883,Asphalt Road,1578.88
มุกดาหาร,1.1798594470046084,4340,351595,19608,Asphalt Road,595.97
ยะลา,0.7815925680159257,4521,549946,18177,Asphalt Road,1244.73
ระนอง,0.5200303214069133,3298,193371,7539,Asphalt Road,390.43
ร้อยเอ็ด,2.010080732618388,8299,1284836,25325,Asphalt Road,1922.78
ลพบุรี,1.197158064516129,6200,729697,27204,Asphalt Road,1635.25
ลำปาง,0.5582216371469603,12534,711478,33136,Asphalt Road,2029.11
ลำพูน,0.9441167332445628,4506,398440,49385,Asphalt Road,966.18
สกลนคร,1.5581969602331878,9606,1142657,47864,Asphalt Road,1309.65
สงขลา,1.4116567487151743,7394,1431959,40996,Asphalt Road,4082.37
สตูล,0.9306857603872528,2479,325470,26250,Asphalt Road,960.11
สมุทรปราการ,1.5714641434262948,1004,1372970,14783,Asphalt Road,198.24
สมุทรสงคราม,2.048177458033573,417,187993,894,Asphalt Road,568.3
สมุทรสาคร,1.891594036697248,872,592033,3041,Asphalt Road,519.72
สระบุรี,1.2957074944071587,3576,638826,30348,Asphalt Road,1621.49
สิงห์บุรี,2.498917274939173,822,201439,6105,Asphalt Road,422.88
สุราษฎร์ธานี,0.9226638740206344,12891,1075788,49491,Asphalt Road,3466.46
สุโขทัย,1.2989296543359612,6596,577866,36805,Asphalt Road,1842.84
หนองคาย,1.322504129501156,3027,514021,18863,Asphalt Road,602.28
อำนาจเจริญ,1.359534957291996,3161,374137,5893,Asphalt Road,851.38
อุตรดิตถ์,0.7573657354254368,7839,439629,19594,Asphalt Road,1323.68
อุทัยธานี,0.7071500742942051,6730,322273,23270,Asphalt Road,1057.08
อุบลราชธานี,1.4656068593204192,15745,1869608,39096,Asphalt Road,2542.1
อ่างทอง,2.7260537190082648,968,270726,24223,Asphalt Road,449.64
เชียงราย,0.921460010275732,11678,1298977,57926,Asphalt Road,1375.55
เชียงใหม่,0.7145894464614313,20107,1797075,80054,Asphalt Road,4049.34
เพชรบุรี,0.6520112449799197,6225,483668,2128,Asphalt Road,1303.93
เพชรบูรณ์,0.8069158509630565,12668,967421,45589,Asphalt Road,1336.57
เลย,0.8212323851203501,11425,635142,15291,Asphalt Road,1816.09
แพร่,0.6625462608961615,6539,426331,18532,Asphalt Road,1109.58
แม่ฮ่องสอน,0.3453757590095418,12681,287644,17602,Asphalt Road,365.23
กระบี่,1.108135485241028,4709,482121,40025,Concrete Road,975.98
กรุงเทพมหานคร,2.4125009560229445,1569,5471588,3349,Concrete Road,
กาฬสินธุ์,1.845229595508853,6947,968065,38734,Concrete Road,3069.07
กำแพงเพชร,1.1315859184384802,8607,704948,26251,Concrete Road,1909.99
ชัยนาท,2.2174939271255063,2470,316220,11764,Concrete Road,1266.25
ชัยภูมิ,1.0795930505556426,12778,1113378,20818,Concrete Road,3571.02
ชุมพร,1.38963554667998,6009,508857,32510,Concrete Road,1986.79
ตรัง,1.2502684017893453,4918,637017,33967,Concrete Road,1554.56
ตาก,0.3755214237825318,16407,691714,39273,Concrete Road,1983.25
นครนายก,1.2678982092365694,2122,260117,21301,Concrete Road,657.33
นครปฐม,2.2794972324723246,2168,924521,1465,Concrete Road,1171.12
นครพนม,1.8626809359695264,5513,714284,20605,Concrete Road,2960.18
นครศรีธรรมราช,1.5289248717690838,9943,1540953,24997,Concrete Road,5008.41
นครสวรรค์,1.4721994165451135,9598,1021883,13761,Concrete Road,3689.14
นนทบุรี,2.800032154340836,622,1308092,21896,Concrete Road,1212.0
นราธิวาส,1.0201787709497208,4475,819162,3438,Concrete Road,1730.43
น่าน,0.4689731520223152,11472,472722,23795,Concrete Road,1680.76
บึงกาฬ,1.3256734788666975,4306,420487,13185,Concrete Road,1812.13
ปทุมธานี,2.2693119266055044,1526,1219199,27522,Concrete Road,1853.61
ประจวบคีรีขันธ์,0.9919409547738692,6368,550977,4604,Concrete Road,2252.93
