district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
นาจะหลวย,10,11,148,9,1,8,1,60,28,14,3,257,172,0,0,39,0
นาดี,44,2,35,2,0,42,0,98,11,0,1,53,2,0,0,0,0
นาดูน,51,30,174,16,10,101,436,44,145,25,12,1160,959,0,0,1,0
นาด้วง,0,2,6,2,3,12,3,23,2,0,0,68,20,0,0,2,0
นาตาล,0,6,43,4,0,6,0,3,2,140,59,519,467,0,0,744,51
นาทม,75,14,199,19,4,76,96,133,74,34,18,474,181,0,0,13,0
นาทวี,364,230,1612,288,668,528,5,765,236,46,24,2024,943,0,0,133,2
นาน้อย,172,136,208,113,8,283,15,204,70,160,78,1108,751,4,1,5,61
นาบอน,46,11,602,7,18,82,42,633,41,4,4,897,105,0,0,12,17
นามน,94,105,362,99,24,289,215,206,107,27,54,1259,778,4,0,6,5
นายายอาม,2,0,1,1,0,3,0,3,1,0,0,10,8,0,0,0,0
นาหมื่น,19,36,20,36,1,57,0,47,60,44,24,402,257,0,0,0,1
นาหม่อม,35,455,208,448,21,325,0,594,32,24,14,881,265,0,0,108,1
นาหว้า,685,84,494,108,48,606,209,1432,976,219,329,4267,934,0,0,189,7
นาเชือก,56,40,90,21,2,122,71,92,94,19,3,1048,1001,0,0,1,0
นาเยีย,7,9,194,9,2,14,3,29,66,61,110,1072,324,1,0,65,0
นาแก,32,72,243,83,27,89,4,144,179,83,161,1844,359,1,0,52,2
นาแห้ว,9,14,11,12,0,35,0,85,4,7,2,102,56,0,0,23,0
นาโยง,21,145,448,138,9,444,30,439,71,11,69,1399,549,0,0,4,0
นิคมคำสร้อย,25,114,1656,130,78,568,236,1309,141,54,111,2381,872,3,0,0,0
นิคมน้ำอูน,93,32,976,45,87,115,93,337,371,37,74,1207,659,0,0,49,4
นิคมพัฒนา,6,3,4,3,4,2,10,18,36,4,4,266,56,1,0,12,0
น้ำขุ่น,11,1,177,8,2,12,9,10,10,27,261,712,62,1,0,17,2
น้ำปาด,524,188,264,185,32,930,105,1028,68,108,40,2009,383,0,0,134,0
น้ำยืน,4,9,283,6,5,39,2,66,22,312,105,269,327,0,1,1303,0
น้ำหนาว,40,44,21,64,17,108,15,225,52,30,19,717,295,0,0,15,1
น้ำเกลี้ยง,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0
บรบือ,22,31,118,7,11,37,187,57,111,22,13,1093,1156,0,0,0,1
บรรพตพิสัย,130,54,192,29,137,223,8,405,73,12,53,1462,897,1,0,5,2
บันนังสตา,114,82,89,61,22,194,29,492,174,86,92,669,227,0,0,66,0
บัวเชด,1,0,0,0,0,2,0,2,0,2,0,293,177,0,0,1,0
บางกรวย,183,40,300,40,103,348,89,241,518,67,3,1089,467,0,0,502,4
บางกระทุ่ม,68,164,254,92,19,303,14,193,13,37,19,498,523,0,0,0,0
บางกล่ำ,16,5,31,4,14,4,60,13,58,9,0,405,75,0,0,205,0
บางกอกน้อย,44,2,2,3,0,20,8,12,24,3,0,32,18,0,0,0,0
บางกอกใหญ่,29,1,0,1,2,10,2,9,2,7,0,16,8,0,0,0,0
บางกะปิ,17,2,5,2,0,10,8,0,2,4,0,28,27,0,0,0,0
บางขัน,1,4,875,2,400,436,400,58,1,3,0,1135,194,0,0,0,0
