district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
ระโนด,1579,344,1309,345,288,1104,9,1263,518,502,124,1602,1056,0,0,64,4
รัตนบุรี,2,29,0,1,0,2,0,1,12,33,0,1073,880,0,0,25,0
รัตนวาปี,49,20,61,24,15,144,3,34,24,16,14,839,324,0,0,2,0
รัตภูมิ,240,172,1043,149,83,375,11,1123,151,83,48,2120,795,0,0,117,1
รัษฎา,13,87,297,77,20,227,29,335,49,20,13,936,237,0,0,17,0
ราชสาส์น,16,6,2,6,0,13,0,5,1,2,0,110,108,0,0,1,0
ราชเทวี,15,0,5,1,0,3,11,7,9,3,0,42,16,0,0,0,1
รามัน,181,260,1205,218,52,833,56,1191,1011,98,771,3233,1437,0,0,37,2
ราษฎร์บูรณะ,14,0,1,0,0,2,5,4,5,0,0,14,4,0,0,0,5
ราษีไศล,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
รือเสาะ,1,0,0,0,0,1,0,5,0,0,0,20,4,0,0,0,0
ร่องคำ,53,46,156,38,1,200,1,270,30,28,70,1310,663,0,1,22,0
ร่อนพิบูลย์,28,91,1163,104,32,314,63,340,25,33,5,2359,301,0,0,3,38
ร้องกวาง,255,52,137,48,14,136,5,427,170,220,19,2182,1122,0,0,0,1
ลอง,94,39,58,33,10,93,15,113,49,67,5,957,392,1,0,0,66
ละงู,1073,312,1947,332,161,1109,30,2333,649,425,315,3245,1459,0,1,327,3
ละอุ่น,104,31,293,42,2,127,25,117,45,22,2,414,192,0,0,99,0
ละแม,175,54,188,47,32,293,224,304,79,17,139,1377,645,0,0,0,0
ลับแล,651,169,452,172,13,483,14,492,110,110,97,1277,350,2,0,54,0
ลาดกระบัง,15,7,7,7,0,5,14,7,3,5,0,37,27,0,0,0,0
ลาดบัวหลวง,80,34,118,32,0,77,4,94,18,10,19,178,190,0,0,55,1
ลาดพร้าว,11,4,2,3,1,6,11,18,9,7,0,24,22,0,0,1,0
ลาดยาว,37,5,18,4,4,16,4,12,19,11,70,2323,40,0,0,1,3
ลาดหลุมแก้ว,638,321,427,116,19,488,73,355,258,331,57,1644,1037,2,0,221,24
ลานกระบือ,2,10,216,12,0,40,10,7,17,6,9,310,201,0,0,76,1
ลานสกา,3,17,603,25,5,74,18,244,16,7,0,1104,124,0,0,2,2
ลานสัก,1167,257,462,237,151,1214,75,848,541,622,152,3839,3048,2,1,5,3
ลำดวน,0,0,0,0,0,0,0,0,175,109,0,840,474,0,0,2,0
ลำทับ,131,62,274,54,91,226,255,615,728,122,187,2528,949,3,0,17,0
ลำปลายมาศ,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
ลำลูกกา,512,408,340,273,8,518,50,390,693,399,71,1728,866,11,0,154,0
ลำสนธิ,317,144,473,146,3,419,13,649,487,155,150,1677,1261,0,0,19,34
ลี้,502,375,530,374,125,841,110,1082,651,346,359,4798,4323,2,0,11,20
ลืออำนาจ,90,71,70,86,14,163,8,191,106,45,47,1511,296,0,0,128,3
วชิรบารมี,98,79,187,106,56,539,48,153,240,59,137,636,439,0,0,5,15
วังจันทร์,7,0,30,1,9,5,8,14,20,3,5,122,28,0,0,7,0
วังชิ้น,209,69,77,57,2,184,6,267,34,153,30,1727,686,0,0,1,1
วังทรายพูน,43,29,150,34,63,189,13,226,170,49,46,428,261,0,0,19,7
วังทอง,357,270,864,228,90,1273,61,1992,737,344,85,2630,1445,0,0,2,53
วังทองหลาง,14,1,8,0,1,3,13,6,5,2,0,33,23,0,0,0,0
วังน้อย,76,20,37,20,0,96,1,62,16,7,13,197,236,0,0,228,1
วังน้ำเย็น,7,14,28,0,9,2,0,1,7,9,26,359,27,0,0,2,0
วังม่วง,37,32,60,32,3,35,6,61,77,15,4,155,47,0,0,0,14
วังยาง,42,22,63,22,4,31,28,73,83,38,35,643,109,1,0,33,0
วังวิเศษ,26,113,427,97,18,332,34,523,187,30,138,2009,565,0,0,34,0
วังสมบูรณ์,25,14,174,17,10,94,12,14,0,1,2,421,4,0,0,0,0
วังสะพุง,135,78,200,81,34,357,41,599,163,141,27,1105,302,0,0,208,1
วังหิน,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
วังเจ้า,326,71,682,103,227,409,94,1272,223,45,391,2562,952,0,0,140,4
วังเหนือ,272,64,114,71,3,451,52,121,146,284,17,467,320,0,0,3,0
วังโป่ง,65,70,91,88,2,193,0,219,121,54,54,1140,562,0,0,32,6
วัฒนา,5,1,2,3,0,6,2,1,1,0,0,7,4,0,0,0,0
วัฒนานคร,5,1,17,1,0,10,0,5,2,5,1,365,32,0,0,0,0
วัดสิงห์,79,38,60,46,12,54,50,370,171,23,2,701,70,0,0,199,0
วัดโบสถ์,194,82,113,65,34,310,281,230,170,77,21,989,304,0,0,3,1
วานรนิวาส,55,66,1709,36,97,155,237,1538,971,107,419,2030,2949,1,1,131,5
วาปีปทุม,27,62,273,2,43,46,432,221,145,26,32,1683,1790,1,0,1,2
วาริชภูมิ,37,38,1279,28,20,97,200,781,462,56,71,904,1203,2,0,87,4
วารินชำราบ,1,24,143,18,0,30,1,20,16,5,126,958,148,0,0,16,1
วิภาวดี,162,68,283,49,3,286,2,310,218,168,99,1303,819,1,0,341,7
วิหารแดง,100,57,78,57,1,109,5,89,155,49,4,377,94,1,0,24,2
วิเชียรบุรี,325,214,250,254,106,608,85,642,328,168,139,3371,1157,2,0,49,9
วิเศษชัยชาญ,1215,302,430,209,84,735,580,931,217,284,61,2277,1086,0,0,17,23
ศรีณรงค์,0,0,0,0,0,0,0,0,27,58,9,252,248,0,0,7,0
ศรีนคร,213,100,771,82,18,345,12,400,190,103,118,923,781,0,0,2,0
ศรีนครินทร์,46,52,179,40,20,87,130,36,60,18,5,129,547,0,0,6,0
ศรีบรรพต,27,46,149,47,0,62,32,96,70,35,12,249,230,0,0,3,1
ศรีมหาโพธิ,4,1,48,0,0,8,0,46,12,5,1,45,6,0,0,14,2
ศรีมโหสถ,25,4,0,3,0,12,0,19,2,1,0,13,0,0,0,0,0
ศรีรัตนะ,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
ศรีราชา,1,0,16,0,0,0,0,1,0,0,0,14,18,0,0,0,0
ศรีวิไล,203,84,137,88,63,291,172,498,266,86,44,1084,568,0,0,62,1
ศรีสงคราม,273,82,492,110,21,200,279,370,283,160,119,1717,766,0,0,42,0
ศรีสมเด็จ,54,18,960,24,23,209,38,614,59,36,13,1032,91,0,0,20,0
ศรีสัชนาลัย,546,202,983,186,49,696,11,872,132,163,201,2679,936,0,5,1,5
ศรีสาคร,3,2,1,2,0,4,1,5,10,2,3,26,10,0,0,0,0
ศรีสำโรง,294,165,2270,149,348,909,14,829,453,191,173,1613,1369,0,0,1,5
ศรีเชียงใหม่,101,34,404,30,1,126,0,140,170,30,85,1075,421,0,0,1,4
ศรีเทพ,200,226,79,258,52,272,15,244,269,122,60,1577,824,0,0,14,35
ศรีเมืองใหม่,1,9,331,6,1,7,2,35,4,8,41,529,211,0,0,94,0
ศิลาลาด,0,0,2,0,0,0,0,1,1,0,0,3,12,0,0,1,0
ศีขรภูมิ,0,0,0,0,0,0,0,0,3,305,0,1362,1034,0,0,0,0
สตึก,0,0,0,0,0,0,0,0,0,0,0,63,62,0,0,0,0
สทิงพระ,77,171,672,147,83,313,37,629,314,39,26,971,686,0,0,50,2
สนม,1,75,0,0,0,2,0,1,5,81,0,325,76,0,0,76,0
สนามชัย,5,1,4,2,0,4,0,1,19,11,5,702,1228,0,0,4,0
สบปราบ,147,71,190,90,11,255,38,149,91,157,71,1425,614,0,0,2,1
สบเมย,202,97,1138,71,13,221,27,666,384,175,129,1016,1711,0,0,149,8
สมเด็จ,76,109,526,122,3,269,94,270,118,36,52,1428,714,0,0,3,3
สรรคบุรี,184,48,194,29,114,254,109,431,302,67,9,727,247,0,0,60,0
สรรพยา,138,92,173,68,86,243,125,540,360,123,16,1311,542,0,0,102,11
สระโบสถ์,90,99,181,124,2,212,38,247,177,59,52,654,418,0,0,11,10
สระใคร,82,42,204,38,0,100,1,116,196,44,92,1107,485,0,0,1,1
สวนหลวง,36,1,2,1,0,13,17,10,2,2,0,48,25,0,0,1,0
สวรรคโลก,336,132,959,131,89,546,5,435,250,133,216,1598,766,0,0,14,10
สวี,123,81,320,63,24,632,344,297,175,62,282,2042,854,1,0,2,2
สว่างวีระวงศ์,2,18,73,6,0,5,0,5,3,4,3,1125,1016,0,0,658,0
สว่างอารมณ์,726,139,450,135,101,739,18,769,98,219,6,897,1030,0,0,1,72
สว่างแดนดิน,51,59,1790,26,39,255,69,1207,538,82,577,1901,3109,0,0,43,36
สหัสขันธ์,162,103,233,112,44,282,174,367,96,47,88,1398,898,0,1,1,3
สอง,145,45,123,40,11,157,18,287,197,216,87,1918,946,0,0,66,2
สองแคว,41,58,91,55,2,87,23,144,62,40,64,595,413,0,0,11,0
สอยดาว,3,1,2,2,0,9,1,13,0,1,0,53,28,0,0,0,0
สะบ้าย้อย,166,206,2157,119,413,431,102,1281,763,75,70,2722,1018,0,0,550,1
สะพานสูง,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
สะเดา,130,83,1451,80,31,155,12,309,131,39,30,2235,310,0,0,109,3
สะเมิง,21,36,312,30,17,53,7,101,156,51,65,930,568,0,0,19,2
สังขะ,0,1,0,0,0,0,0,0,1,3,0,589,598,0,0,0,0
สังคม,15,12,17,12,0,51,0,21,25,2,8,502,204,0,0,0,0
สัตหีบ,0,1,5,0,1,1,1,2,1,0,1,6,4,0,0,1,1
สันกำแพง,89,58,395,54,14,185,13,229,200,143,75,1208,1033,0,0,46,5
สันติสุข,65,45,69,38,2,107,8,101,31,74,22,499,305,1,0,2,13
สันทราย,20,26,400,17,7,72,11,85,104,41,38,998,593,1,0,12,0
สันป่าตอง,46,66,662,55,11,174,25,163,167,263,113,1590,1040,3,0,16,6
สัมพันธวงศ์,4,0,0,0,0,4,2,1,0,0,0,9,4,0,0,0,0
สากเหล็ก,222,82,144,77,61,435,14,462,111,135,83,871,396,0,0,1,0
สาทร,34,0,3,1,8,6,54,46,39,7,4,82,21,0,0,0,39
สามง่าม,219,75,197,69,46,299,14,339,246,109,62,836,524,0,3,33,0
สามชัย,29,26,118,19,14,111,11,229,53,19,62,901,512,0,0,0,0
สามพราน,1,0,21,0,0,7,0,1,33,0,19,233,6,0,0,0,0
สามร้อยยอด,93,35,162,31,6,100,2,69,68,52,23,91,81,0,0,1,0
สามเงา,214,185,431,248,17,724,44,732,82,65,61,1928,908,0,0,107,10
สามโก้,456,81,625,57,120,413,8,344,90,58,15,954,1076,0,0,4,5
สามโคก,529,406,551,189,50,553,51,394,536,238,44,2098,1035,1,0,279,15
สายบุรี,178,28,2223,28,74,142,35,772,143,37,58,1583,2163,0,0,1,44
สายไหม,47,4,10,2,0,10,52,42,17,13,1,48,46,0,0,4,0
สารภี,97,61,419,60,11,109,11,133,201,62,40,853,490,4,0,9,0
สำโรง,4,13,120,8,4,23,4,20,293,34,3,353,338,0,0,1367,0
สำโรงทาบ,0,0,0,0,0,0,0,0,3,5,0,373,181,0,0,0,0
สิงหนคร,41,33,832,40,9,50,23,94,40,8,10,727,727,0,0,88,0
สิชล,69,5,1048,4,41,189,31,264,85,23,0,3685,188,1,0,15,9
สิรินธร,11,14,124,13,1,18,1,47,28,241,99,324,210,0,0,1098,0
สิเกา,31,91,395,77,0,212,5,415,215,27,115,1553,835,0,0,69,0
สุขสำราญ,66,60,249,78,7,165,25,177,30,28,5,570,95,0,0,83,0
สุคิริน,1,2,14,2,1,3,2,10,11,2,4,15,12,0,0,0,0
สุวรรณภูมิ,41,22,237,33,6,166,49,316,73,300,119,1409,408,0,0,61,2
สุไหงปาดี,12,5,10,5,1,9,8,12,10,5,0,97,32,0,0,0,0
สุไหงโกลก,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0
สูงเนิน,0,0,127,0,0,0,0,3,0,0,0,0,0,0,0,64,0
สูงเม่น,275,55,155,50,8,339,101,549,49,310,12,3136,1257,0,0,0,163
ส่องดาว,99,56,1261,33,206,138,191,1252,930,118,167,2785,1192,1,0,73,11
หนองกี่,0,0,0,0,0,0,0,0,1,0,0,11,15,0,0,0,0
หนองกุงศรี,30,48,385,42,13,128,21,281,119,37,75,1159,734,0,1,6,0
หนองขาหย่าง,196,63,299,61,79,262,10,267,42,79,42,324,607,0,0,0,10
หนองจอก,31,6,16,2,0,9,5,10,21,12,1,61,27,0,0,0,0
หนองจิก,40,27,633,24,1,76,56,387,606,28,20,1729,874,0,0,40,0
หนองฉาง,398,80,309,81,165,461,6,260,96,213,55,473,402,0,0,1,1
หนองบัว,77,32,282,27,95,421,2,1142,25,26,5,963,610,0,0,0,0
หนองบัวระเหว,41,41,282,18,25,91,37,175,61,10,0,629,157,0,0,67,10
หนองบัวแดง,109,95,916,50,52,243,8,584,90,41,13,1452,244,0,0,89,10
หนองบุญมาก,4,1,0,1,0,2,0,2,0,1,0,10,8,0,0,2,0
หนองพอก,26,23,323,22,1,206,12,67,53,41,11,1016,123,0,0,22,0
หนองมะโมง,88,36,69,36,47,118,44,164,245,26,12,729,136,0,0,16,0
หนองม่วง,160,114,236,106,10,264,71,310,162,87,54,926,451,1,0,28,20
หนองม่วงไข่,162,24,134,16,26,119,16,345,57,251,33,1851,549,0,0,0,3
หนองสูง,38,73,775,82,19,364,127,616,67,19,29,1131,716,0,0,0,0
หนองหงส์,0,0,0,0,0,0,0,0,1,0,0,471,540,0,0,0,0
หนองหญ้าปล้อง,65,15,139,13,1,85,0,48,36,38,97,243,142,0,0,0,0
หนองหิน,16,13,68,13,5,195,15,638,7,12,7,375,56,0,0,25,0
หนองฮี,31,21,63,10,41,148,29,662,54,9,31,718,115,0,0,25,3
หนองเสือ,813,341,669,223,54,578,42,712,549,430,74,2528,1312,2,0,152,5
หนองแขม,21,6,0,0,0,3,5,7,5,0,4,24,20,0,0,0,1
หนองแค,375,224,599,184,3,596,1,641,502,243,85,1995,800,4,0,134,6
หนองแซง,61,47,58,45,1,109,1,154,215,95,15,395,280,0,0,310,8
หนองโดน,132,63,84,52,0,96,0,212,197,50,30,395,133,0,0,13,1
หนองใหญ่,0,0,7,0,0,1,0,2,0,0,0,29,8,0,0,0,4
หนองไผ่,113,130,167,158,34,332,6,277,207,83,69,1819,872,3,0,40,8
หลักสี่,12,1,0,1,0,8,8,16,6,3,0,20,14,0,0,0,0
หลังสวน,374,148,466,100,37,557,484,533,98,98,146,3578,1161,1,0,5,1
หล่มสัก,462,298,225,486,213,1062,120,1027,498,200,108,3706,1755,4,0,93,26
หล่มเก่า,250,216,127,335,39,324,25,483,284,199,70,3054,870,1,0,34,10
หว้านใหญ่,21,77,892,84,74,353,252,686,93,20,49,1565,1050,0,0,0,1
หันคา,80,58,143,52,70,500,968,491,276,117,3,1283,706,0,1,81,0
หัวตะพาน,32,32,41,28,14,87,17,195,62,49,38,1057,330,0,0,66,0
หัวหิน,121,27,11,22,0,86,0,16,215,70,29,757,120,0,0,60,2
หัวไทร,5,33,419,28,31,75,26,191,4,3,1,744,163,0,0,3,2
หางดง,50,66,697,69,18,107,35,146,160,70,72,1653,1052,1,0,5,1
หาดสำราญ,14,18,101,14,0,66,4,71,99,22,29,503,318,0,0,37,0
หาดใหญ่,101,92,674,98,16,284,2,245,63,70,17,626,486,0,0,26,1
ห้วยขวาง,16,0,2,0,0,16,37,38,138,6,4,149,63,0,0,0,43
ห้วยคต,684,182,245,159,108,745,142,770,364,356,154,1551,1681,0,0,3,1
ห้วยทับทัน,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
ห้วยผึ้ง,69,65,274,55,4,128,4,434,218,24,14,883,337,0,0,0,0
ห้วยยอด,27,254,519,211,15,565,90,603,466,76,173,3622,1095,4,0,159,3
ห้วยราช,0,0,0,0,0,0,0,0,5,0,0,185,85,0,0,0,0
ห้วยเม็ก,97,94,668,86,40,206,21,380,364,116,133,2524,1334,4,0,6,5
ห้างฉัตร,987,393,899,359,39,969,54,639,99,79,12,1778,2485,0,0,70,0
องครักษ์,372,87,611,77,77,289,87,600,145,1511,37,814,400,0,2,11,2
อมก๋อย,33,38,1968,34,26,104,27,493,429,104,99,2569,1757,1,2,87,2
อรัญประเทศ,112,40,32,49,10,362,5,334,187,21,1,452,79,0,0,1,0
อัมพวา,26,14,128,10,4,19,1,18,53,24,10,395,429,1,0,318,3
อากาศอำนวย,81,66,1493,46,88,126,227,1180,1076,138,214,2948,1194,0,0,148,27
อาจสามารถ,65,52,673,37,22,152,10,173,179,103,48,962,285,1,0,1,23
อินทร์บุรี,271,74,207,79,20,457,106,207,114,40,37,688,302,1,0,7,2
อุทัย,233,83,23,75,1,141,10,66,42,29,21,261,292,0,0,87,3
อุทุมพรพิสัย,0,0,4,0,0,0,0,1,0,0,0,4,55,0,0,3,0
อุ้มผาง,67,42,671,77,13,213,17,579,131,33,186,2639,1102,0,0,154,4
อ่าวลึก,206,139,499,188,117,326,258,1178,487,114,134,3722,1119,0,0,41,0
ฮอด,14,11,464,15,11,42,16,331,200,48,100,991,653,0,0,9,0
เกษตรวิสัย,117,66,356,64,3,401,22,182,143,181,15,1707,279,3,0,62,4
เกษตรสมบูรณ์,79,79,952,68,45,278,32,491,44,26,11,1104,110,0,0,4,0
เกาะกูด,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เกาะคา,381,48,343,46,18,497,46,209,267,39,98,1500,1179,0,0,49,0
เกาะจันทร์,0,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0
เกาะพะงัน,135,41,27,31,11,425,2,369,27,42,11,980,325,0,0,8,0
เกาะยาว,108,26,183,20,65,166,61,146,91,53,51,519,148,0,0,1,1
เกาะลันตา,83,89,318,86,82,402,46,517,574,112,187,2942,1167,3,0,34,1
เก้าเลี้ยว,46,55,32,36,2,96,2,625,31,89,7,617,74,1,0,2,0
เขมราฐ,0,6,91,2,0,6,1,15,7,4,45,443,58,0,0,2,0
เขวาสินรินทร์,0,1,0,0,0,0,0,2,24,130,0,463,274,0,0,9,0
เขาคิชฌกูฏ,0,1,0,1,0,1,0,1,0,0,0,2,3,0,0,0,0
เขาค้อ,114,85,220,113,7,179,17,220,171,82,55,1639,515,0,0,76,7
เขาฉกรรจ์,60,31,2,30,2,145,1,113,21,48,0,242,33,0,0,2,0
เขาชะเมา,5,1,9,0,0,2,6,12,7,6,2,280,32,0,0,0,0
เขาชัยสน,30,92,367,65,0,68,163,66,104,46,18,471,696,0,0,7,0
เขาพนม,188,75,184,60,88,262,298,612,597,87,145,2549,1203,0,0,8,0
เขาย้อย,12,3,177,9,0,28,1,54,17,17,92,235,183,0,0,0,0
เขาวง,74,41,364,31,61,161,20,408,74,40,20,731,446,0,0,0,3
เขาสมิง,1,0,0,0,0,1,0,1,0,0,0,12,4,0,0,0,0
เขื่องใน,9,21,185,12,0,31,3,17,128,69,407,1969,503,1,0,222,4
เคียนซา,0,34,20,33,15,136,2,226,29,2,11,919,18,0,0,16,0
เจริญศิลป์,26,42,649,15,39,55,111,413,297,65,108,955,853,0,0,6,11
เจาะไอร้อง,15,24,41,21,4,33,12,117,101,6,42,391,101,1,0,1,9
เฉลิมพระเกียรติ,238,129,726,109,26,241,26,287,219,139,98,2146,1155,0,0,38,4
เชียงกลาง,91,78,114,84,6,166,16,110,60,62,44,753,571,6,0,6,29
เชียงขวัญ,32,24,730,23,8,101,14,219,26,33,13,915,80,0,0,21,5
เชียงของ,71,30,186,32,39,112,7,416,146,109,57,1285,911,0,0,10,19
เชียงคาน,72,37,63,39,21,177,38,329,58,43,34,703,282,0,0,37,1
เชียงคำ,506,271,397,231,35,545,58,675,212,254,64,872,248,1,0,84,1
เชียงดาว,22,24,491,28,12,66,12,116,171,53,21,1205,557,2,0,39,1
เชียงม่วน,111,56,50,40,1,127,7,195,21,21,3,168,259,0,0,6,0
เชียงยืน,55,36,119,15,4,52,137,48,45,13,12,1135,516,0,0,0,0
เชียงแสน,58,67,402,56,11,153,2,358,166,124,82,1271,667,3,0,2,2
เชียรใหญ่,28,78,583,56,42,199,136,231,75,20,11,2658,431,0,0,0,28
เซกา,171,164,579,319,95,761,96,1263,159,64,225,1596,507,0,0,47,0
เดชอุดม,71,48,275,33,1,89,0,162,262,176,39,1313,370,0,0,225,0
เด่นชัย,98,53,108,54,1,162,1,201,51,119,4,1184,781,0,0,1,117
เต่างอย,25,35,528,34,36,111,8,243,115,33,161,656,882,0,0,14,1
เถิน,397,114,395,85,46,619,97,211,179,114,167,1771,971,2,0,10,14
เทพสถิต,110,54,838,30,64,147,7,355,59,17,3,930,181,0,0,64,1
เทพา,200,88,1117,92,85,360,10,611,247,16,47,1690,356,0,1,144,0
เทศบาลตำบล กม.5,76,3,4,0,0,157,0,250,1,55,0,335,2,0,0,0,0
เทศบาลตำบลกกโก,22,8,23,17,1,35,10,17,17,12,0,98,62,0,0,9,0
เทศบาลตำบลกงไกรลาศ,14,0,19,0,1,17,0,16,12,0,6,30,35,0,0,0,0
เทศบาลตำบลกมลาไสย,1,0,5,0,2,10,3,10,5,0,3,36,25,0,7,0,0
เทศบาลตำบลกระดังงา,1,0,2,0,0,1,0,0,1,0,0,1,9,0,0,0,0
เทศบาลตำบลกระบี่น้อย,74,56,318,45,17,73,25,119,176,36,53,1367,518,0,0,30,0
เทศบาลตำบลกระหวัน,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
เทศบาลตำบลกระโสม,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
เทศบาลตำบลกองดิน,0,0,8,0,0,0,0,1,0,0,0,9,2,0,0,0,0
เทศบาลตำบลกะรน,8,6,21,9,2,21,0,38,3,1,3,45,12,0,0,0,0
เทศบาลตำบลกะเปอร์,0,0,0,0,0,0,0,8,8,0,0,2,6,0,0,9,0
เทศบาลตำบลกันทรอม,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
เทศบาลตำบลกันทรารมย์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลกาญจนดิษฐ์,0,20,19,16,0,86,0,63,0,8,1,106,7,1,0,1,0
เทศบาลตำบลกำแพง,22,6,14,7,0,37,0,25,36,8,1,52,19,0,0,3,0
เทศบาลตำบลกำแพงดิน,14,3,6,2,1,17,2,21,3,3,0,24,16,0,0,1,0
เทศบาลตำบลกำแพงเพชร,14,6,10,6,0,10,0,11,0,1,1,1,32,0,0,0,0
เทศบาลตำบลกุดข้าวปุ้น,0,0,3,0,0,0,0,0,0,0,2,164,7,0,0,159,0
เทศบาลตำบลกุดจิก,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0
เทศบาลตำบลกุดชมภู,0,0,52,0,0,0,0,20,2,39,17,64,27,0,0,668,0
เทศบาลตำบลกุดชุมพัฒนา,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0
เทศบาลตำบลกุดนกเปล้า,56,39,48,32,0,56,0,56,102,13,0,149,38,0,0,2,0
เทศบาลตำบลกุดบาก,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
เทศบาลตำบลกุดประทาย,15,2,72,1,0,12,0,27,23,16,2,212,20,0,0,16,0
เทศบาลตำบลกุดสิม,27,19,35,16,1,40,11,48,24,9,6,183,97,0,0,0,0
เทศบาลตำบลกุยบุรี,52,2,9,2,18,36,11,55,0,0,1,101,3,0,0,0,0
เทศบาลตำบลกุสุมาลย์,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0
เทศบาลตำบลขนอม,0,0,7,0,4,4,1,2,0,0,0,24,2,0,0,0,0
เทศบาลตำบลขวาว,36,8,79,10,11,78,7,242,9,2,2,104,80,0,0,5,0
เทศบาลตำบลขาณุวรลักษบุรี,0,0,3,0,0,2,0,1,2,0,0,4,20,0,0,2,0
เทศบาลตำบลขามป้อม,0,0,11,0,0,0,0,0,0,0,0,43,8,0,0,0,0
เทศบาลตำบลขามเรียง,2,0,20,0,3,4,12,17,17,5,2,275,168,0,0,0,0
เทศบาลตำบลขามใหญ่,3,9,95,8,0,6,0,2,1,2,4,153,60,0,0,3,0
เทศบาลตำบลขุนทะเล,101,28,28,22,7,112,7,94,43,29,11,721,145,1,0,3,1
เทศบาลตำบลขุนหาญ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
เทศบาลตำบลครึ่ง,5,7,20,8,7,18,0,34,16,14,1,754,56,0,0,0,0
เทศบาลตำบลคลองขุด,193,81,357,71,81,250,245,347,172,63,59,527,427,0,0,27,0
เทศบาลตำบลคลองจิก,20,5,61,4,0,24,0,15,1,5,1,37,109,0,0,2,0
เทศบาลตำบลคลองชะอุ่น,3,7,5,11,0,113,1,196,3,1,1,219,0,0,0,0,0
เทศบาลตำบลคลองด่าน,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0
เทศบาลตำบลคลองท่อมใต้,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
เทศบาลตำบลคลองพิไกร,25,7,7,4,0,32,2,11,29,16,7,157,77,0,0,13,0
เทศบาลตำบลคลองลานพัฒนา,89,22,156,21,20,45,3,64,163,46,80,666,898,0,0,80,0
เทศบาลตำบลคลองวาฬ,5,0,31,0,0,4,0,1,1,4,0,1,2,0,0,0,0
เทศบาลตำบลคลองสวน,4,0,9,0,0,0,0,0,1,0,4,53,51,0,0,0,0
เทศบาลตำบลคลองแงะ,5,0,74,0,6,3,2,0,5,3,0,137,8,0,0,0,0
เทศบาลตำบลคลองแม่ลาย,5,0,11,0,2,3,0,2,0,4,4,21,35,0,0,0,0
เทศบาลตำบลคลองโยง,0,0,11,0,0,0,0,0,0,0,1,15,0,0,0,0,0
เทศบาลตำบลคลองใหญ่,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0
เทศบาลตำบลควนขนุน,0,2,2,2,0,2,0,0,0,1,0,2,2,0,0,0,0
เทศบาลตำบลควนเนียง,0,1,10,1,0,1,0,0,0,1,0,9,2,0,0,1,1
เทศบาลตำบลควนโดน,36,6,57,4,1,22,0,39,4,12,40,68,22,0,0,0,0
เทศบาลตำบลคอนสาร,0,0,9,0,0,1,0,9,2,0,0,10,0,0,0,0,0
เทศบาลตำบลคอแลน,2,1,87,0,0,2,0,2,1,0,1,36,94,0,0,10,0
เทศบาลตำบลคำชะอี,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
เทศบาลตำบลคำตากล้า,0,1,36,2,0,7,0,32,2,1,20,31,84,0,0,1,0
เทศบาลตำบลคำน้ำแซบ,7,11,5,11,0,21,3,19,14,1,3,81,13,0,0,2,3
เทศบาลตำบลคำบง,4,4,15,5,0,20,4,35,6,2,2,71,38,0,0,0,0
เทศบาลตำบลคำบ่อ,7,31,205,9,4,58,15,203,59,15,16,333,291,0,0,0,0
เทศบาลตำบลคำพราน,6,7,13,7,0,11,0,13,30,10,4,35,16,0,0,0,0
เทศบาลตำบลคำพอุง,0,0,10,0,0,0,0,1,5,0,0,99,4,0,0,0,0
เทศบาลตำบลคำม่วง,1,1,1,0,0,10,1,7,2,2,0,15,7,0,0,0,1
เทศบาลตำบลคำอาฮวน,26,17,698,17,10,85,30,281,14,7,32,546,284,1,1,1,2
เทศบาลตำบลคำใหญ่,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0
เทศบาลตำบลคุ้งตะเภา,31,25,124,23,0,48,10,95,15,4,26,341,134,0,0,40,0
